"theta","V_pesos","V_raster","anchor","tau_p10","tau_p50","tau_p90","dlm_gainshare","dlm_mean","dlm_sd","dlm_median","ols_beta","ols_se","ols_p","ols_F","ivlp_beta","ivlp_se","ivlp_p","ivlp_F","ivh_beta","ivh_se","ivh_p","ivh_F","ivb_beta","ivb_se","ivb_p","ivb_F","n_obs"
8.22,0,0,"raw (V->0)",1573499.85536818,4440412.3767133,10581122.858074,0.884615384615385,3.05414649277632,5.1563058954163,1.02153066164156,0.0099930447209333,0.00577706097432149,0.0846946884064163,NA,0.0209025685564554,0.0216785094367167,0.335716199462146,15.6363395616794,0.0295775659610707,0.0313527163765717,0.346242490501955,7.94397495193332,0.0239721234177166,0.0161478315667387,0.138711814060417,13.3140212132077,311
8.22,100,1e+05,"affine",16.7349985536818,45.404123767133,106.81122858074,0.894230769230769,2.77868905347233,4.37197429681574,0.88061643963811,0.012138447585247,0.00678177973479032,0.0744812503986248,NA,0.0453735129389899,0.0293152630212541,0.122726538121247,10.3121954945636,0.0258807698211435,0.0299448271136541,0.388121314331567,12.2609751235232,0.0348456581013301,0.0207154471110642,0.0935846063111172,12.184067774617,311
8.22,500,5e+05,"affine",4.14699971073636,9.8808247534266,22.162245716148,0.91025641025641,2.18077009898124,3.35674588779819,0.688963113380072,0.0159164034415665,0.00944868327105837,0.09311966141538,NA,0.0672798076711887,0.0404056251474895,0.0969312879649998,9.53868073129742,0.0327642737297303,0.0342391597810434,0.339373555531128,18.220651142426,0.0448973584859145,0.0265560943054026,0.0919367148858897,14.6159585228809,311
8.22,1000,1e+06,"affine",2.57349985536818,5.4404123767133,11.581122858074,0.919871794871795,1.79564314367586,2.82184628809288,0.572362180537548,0.0176642715903951,0.0120404431440101,0.143398821623091,NA,0.0781528834009852,0.0506348248655755,0.123769595310289,9.49317960259596,0.0378861900799318,0.0391883216215206,0.334433918480702,22.0565813714112,0.0503187027647572,0.031552458520597,0.111814601360944,16.4014654813456,311
8.22,2000,2e+06,"affine",1.78674992768409,3.22020618835665,6.29056142903699,0.92948717948718,1.39224690733215,2.27624992991395,0.395998004411068,0.017719725143431,0.0162528697141744,0.276474132273731,NA,0.0895034750447046,0.0682761029048792,0.190889151741202,9.17544606750759,0.044159612279827,0.0485209542762626,0.363490466718064,25.8244953253158,0.0563038621640784,0.0404065936595612,0.164517086423743,17.8815363423677,311
8.22,4400,4400000,"affine",1.35761360349277,2.0091846310712,3.40480064956227,0.94551282051282,0.972126172122608,1.66815134593576,0.27316362412159,0.016415475300887,0.0244798250006967,0.503007665322597,NA,0.10391905290682,0.100918659786724,0.303963109934233,9.33249695313555,0.056246524375926,0.0658583662976972,0.393754898067996,32.1614464698138,0.0669970554722687,0.0568906466678655,0.239867954494628,20.7230538229407,311
8.22,10000,1e+07,"affine",1.15734998553682,1.44404123767133,2.0581122858074,0.955128205128205,0.614106190558658,1.0972516771672,0.167992218839697,0.0130914534699994,0.0407331417335445,0.748133658043246,NA,0.119548506504272,0.161608688196259,0.460033956410941,10.1298101856771,0.081229538142176,0.0988114009072922,0.411689779480079,41.9350547209446,0.0884771579106562,0.0881994169107541,0.316594715357664,25.5057683715869,311
8.22,20000,2e+07,"affine",1.07867499276841,1.22202061883567,1.5290561429037,0.955128205128205,0.388908659171394,0.70995209258377,0.11266120848887,0.00456599298059944,0.0666135403632978,0.94539769495674,NA,0.124262435767341,0.261249117369611,0.63467068260998,10.3979138668878,0.118665698783165,0.153633512330988,0.440486780045838,50.764723015985,0.119575436304042,0.139836725622501,0.393171740238524,29.8320319946012,311
8.22,50000,5e+07,"affine",1.03146999710736,1.08880824753427,1.21162245716148,0.971153846153846,0.193308923615279,0.358059905031066,0.0622390827094712,-0.0278193849981013,0.13847196943886,0.840910384308684,NA,0.10065643201514,0.550944089368907,0.855157906701087,10.083748936662,0.213220546173353,0.31313217946816,0.496440378499996,60.4271838773491,0.197848941388315,0.289056336180702,0.494208257222725,34.5368313180907,311
8.22,1e+05,1e+08,"affine",1.01573499855368,1.04440412376713,1.10581122858074,0.990384615384615,0.10687887182151,0.199033265722293,0.0362869606274643,-0.0902655338483005,0.253614818770377,0.722152902567726,NA,0.0381366615919754,1.02816799754212,0.970436350968769,9.72113374487271,0.354367590681925,0.574821271920541,0.538041696345728,65.4828357606108,0.315096717631666,0.533302347807003,0.555070561266056,36.985539615319,311
